image_id,type,x,y,w,h,img_shp_0_init,img_shape1_init,img_shp_0,img_shp_1
180,Type_1,1,1,190,253,4128,3096,192,256
181,Type_1,24,40,143,141,3264,2448,192,256
191,Type_1,1,1,190,253,4128,3096,192,256
201,Type_1,1,1,190,253,4128,3096,192,256
205,Type_1,1,1,190,253,4128,3096,192,256
208,Type_1,30,17,134,159,4128,3096,192,256
215,Type_1,1,19,190,160,4128,3096,192,256
218,Type_1,1,1,190,253,4128,3096,192,256
229,Type_1,1,52,155,158,4128,3096,192,256
230,Type_1,35,73,106,110,3264,2448,192,256
237,Type_1,1,1,190,253,4128,3096,192,256
239,Type_1,27,46,151,149,3264,2448,192,256
245,Type_1,51,80,88,119,4128,3096,192,256
248,Type_1,12,15,179,226,3264,2448,192,256
252,Type_1,1,1,190,216,4128,3096,192,256
254,Type_1,1,68,158,135,4128,3096,192,256
262,Type_1,21,55,149,148,4128,3096,192,256
265,Type_1,46,29,135,212,4128,3096,192,256
267,Type_1,26,50,145,152,3264,2448,192,256
27,Type_1,30,20,129,178,4160,3120,192,256
281,Type_1,1,26,187,218,4128,3096,192,256
294,Type_1,1,1,190,253,4128,3096,192,256
298,Type_1,1,59,153,152,3264,2448,192,256
306,Type_1,1,1,190,253,4128,3096,192,256
308,Type_1,1,45,171,179,3264,2448,192,256
311,Type_1,1,45,166,150,4128,3096,192,256
333,Type_1,36,66,115,115,4128,3096,192,256
334,Type_1,72,29,118,114,3096,4128,256,192
338,Type_1,1,1,190,253,4128,3096,192,256
34,Type_1,1,27,188,206,4128,3096,192,256
342,Type_1,31,77,131,128,4128,3096,192,256
346,Type_1,1,1,190,253,4128,3096,192,256
349,Type_1,22,52,148,148,3264,2448,192,256
35,Type_1,22,64,141,109,4128,3096,192,256
356,Type_1,1,21,190,157,4128,3096,192,256
376,Type_1,61,105,84,72,3264,2448,192,256
379,Type_1,1,87,117,121,4128,3096,192,256
383,Type_1,1,1,190,253,4128,3096,192,256
384,Type_1,1,1,190,253,4128,3096,192,256
387,Type_1,34,51,152,143,3264,2448,192,256
396,Type_1,23,48,143,151,3264,2448,192,256
401,Type_1,1,1,190,253,4160,3120,192,256
41,Type_1,24,54,144,149,3264,2448,192,256
416,Type_1,41,86,74,68,3264,2448,192,256
421,Type_1,1,1,190,253,4128,3096,192,256
425,Type_1,1,38,166,148,4128,3096,192,256
434,Type_1,1,30,184,201,4128,3096,192,256
441,Type_1,21,68,154,135,3264,2448,192,256
446,Type_1,14,42,96,166,3264,2448,192,256
454,Type_1,1,1,190,253,4160,3120,192,256
463,Type_1,18,62,134,137,3264,2448,192,256
469,Type_1,74,14,119,174,2448,3264,256,192
47,Type_1,25,52,146,147,4128,3096,192,256
470,Type_1,1,51,190,184,4128,3096,192,256
471,Type_1,35,19,172,170,2448,3264,256,192
478,Type_1,29,53,144,149,3264,2448,192,256
48,Type_1,1,24,190,206,4128,3096,192,256
481,Type_1,1,41,190,213,4128,3096,192,256
484,Type_1,1,14,190,207,4128,3096,192,256
497,Type_1,1,1,190,253,3264,2448,192,256
513,Type_1,39,30,152,166,3264,2448,192,256
516,Type_1,1,42,178,150,4128,3096,192,256
518,Type_1,20,78,131,125,4128,3096,192,256
523,Type_1,1,1,190,253,4160,3120,192,256
531,Type_1,64,41,127,154,4160,3120,192,256
532,Type_1,84,85,81,80,3264,2448,192,256
536,Type_1,94,58,77,146,3264,2448,192,256
539,Type_1,38,72,101,119,3264,2448,192,256
55,Type_1,1,1,190,253,4128,3096,192,256
550,Type_1,1,1,190,253,3264,2448,192,256
551,Type_1,24,22,131,156,4128,3096,192,256
553,Type_1,12,35,166,155,3264,2448,192,256
558,Type_1,1,44,172,164,3264,2448,192,256
560,Type_1,21,3,168,238,4128,3096,192,256
562,Type_1,1,17,190,198,4128,3096,192,256
57,Type_1,52,67,99,100,4128,3096,192,256
576,Type_1,20,34,131,176,3264,2448,192,256
578,Type_1,1,9,136,213,4128,3096,192,256
579,Type_1,1,60,190,155,4128,3096,192,256
580,Type_1,32,60,159,108,4128,3096,192,256
582,Type_1,58,19,161,161,3096,4128,256,192
583,Type_1,21,52,153,148,3264,2448,192,256
593,Type_1,1,179,190,74,3264,2448,192,256
596,Type_1,6,33,162,183,3264,2448,192,256
605,Type_1,1,1,190,253,4160,3120,192,256
619,Type_1,3,76,116,132,4128,2322,144,256
620,Type_1,19,46,158,159,4128,3096,192,256
623,Type_1,20,49,171,150,4128,3096,192,256
624,Type_1,2,45,172,171,3264,2448,192,256
641,Type_1,1,1,190,253,4128,3096,192,256
643,Type_1,60,73,96,97,3264,2448,192,256
645,Type_1,1,1,190,253,4160,3120,192,256
649,Type_1,57,58,79,122,4128,3096,192,256
653,Type_1,1,123,138,84,4128,3096,192,256
660,Type_1,1,33,170,179,3264,2448,192,256
663,Type_1,1,51,190,147,4128,3096,192,256
667,Type_1,30,75,126,97,4128,3096,192,256
668,Type_1,33,48,151,150,3264,2448,192,256
677,Type_1,126,125,65,129,4128,3096,192,256
683,Type_1,30,61,147,127,4128,3096,192,256
685,Type_1,1,63,164,167,4128,3096,192,256
7,Type_1,1,16,190,205,3264,2448,192,256
700,Type_1,34,51,132,152,4128,3096,192,256
708,Type_1,63,106,128,145,4128,3096,192,256
709,Type_1,36,73,108,117,3264,2448,192,256
710,Type_1,1,44,173,140,4128,3096,192,256
713,Type_1,42,26,149,136,4128,3096,192,256
725,Type_1,21,55,149,149,3264,2448,192,256
727,Type_1,1,1,190,253,4128,3096,192,256
732,Type_1,1,1,190,253,4160,3120,192,256
739,Type_1,31,48,135,137,3264,2448,192,256
745,Type_1,17,51,155,153,4128,3096,192,256
751,Type_1,1,1,190,253,3264,2448,192,256
759,Type_1,4,39,177,176,3264,2448,192,256
763,Type_1,2,67,189,173,4128,3096,192,256
764,Type_1,1,1,190,253,4160,3120,192,256
765,Type_1,16,58,150,155,4128,3096,192,256
769,Type_1,1,1,190,253,4160,3120,192,256
779,Type_1,14,63,167,113,4128,3096,192,256
783,Type_1,25,55,144,144,3264,2448,192,256
787,Type_1,5,36,173,183,3264,2448,192,256
791,Type_1,21,45,153,124,3264,2448,192,256
802,Type_1,1,1,153,211,4128,3096,192,256
805,Type_1,29,64,146,128,4128,3096,192,256
809,Type_1,1,1,159,101,4128,3096,192,256
81,Type_1,11,121,180,133,4128,3096,192,256
810,Type_1,55,94,118,116,4128,3096,192,256
814,Type_1,53,63,113,149,3264,2448,192,256
817,Type_1,2,30,180,212,4128,3096,192,256
821,Type_1,19,51,155,147,4128,3096,192,256
833,Type_1,31,47,131,140,640,480,192,256
836,Type_1,21,56,146,149,3264,2448,192,256
842,Type_1,1,1,190,253,4128,3096,192,256
846,Type_1,31,58,116,123,3264,2448,192,256
855,Type_1,4,92,129,95,3264,2448,192,256
873,Type_1,24,53,147,145,3264,2448,192,256
879,Type_1,23,48,151,150,3264,2448,192,256
880,Type_1,1,1,254,189,3096,4128,256,192
887,Type_1,1,4,190,250,4128,3096,192,256
889,Type_1,1,1,190,253,4128,3096,192,256
890,Type_1,1,1,190,253,4128,3096,192,256
891,Type_1,1,1,190,253,4160,3120,192,256
895,Type_1,26,41,131,165,3264,2448,192,256
901,Type_1,1,1,190,253,3264,2448,192,256
906,Type_1,39,1,152,250,3264,2448,192,256
908,Type_1,23,57,145,145,3264,2448,192,256
917,Type_1,1,1,190,253,4128,3096,192,256
918,Type_1,1,1,190,253,4128,3096,192,256
920,Type_1,25,56,143,148,4128,3096,192,256
921,Type_1,20,36,156,134,4160,3120,192,256
928,Type_1,1,26,167,158,4128,3096,192,256
930,Type_1,1,43,190,171,4128,3096,192,256
96,Type_1,1,1,94,253,4128,3096,192,256
965,Type_1,79,1,112,119,3264,2448,192,256
972,Type_1,23,34,168,202,4128,3096,192,256
977,Type_1,15,1,176,220,4128,3096,192,256
982,Type_1,8,60,165,107,3264,2448,192,256
984,Type_1,1,1,190,253,4128,3096,192,256
991,Type_1,5,37,174,173,3264,2448,192,256
998,Type_1,1,1,190,253,3264,2448,192,256
1,Type_2,34,73,92,117,3264,2448,192,256
100,Type_2,38,85,101,129,3264,2448,192,256
1001,Type_2,35,33,109,167,4128,3096,192,256
1002,Type_2,1,1,190,191,3264,2448,192,256
1005,Type_2,1,1,190,222,4128,3096,192,256
1006,Type_2,34,1,221,189,3096,4128,256,192
101,Type_2,1,1,190,253,4128,3096,192,256
1010,Type_2,34,59,147,189,3264,2448,192,256
1011,Type_2,1,1,190,253,4128,3096,192,256
1012,Type_2,32,60,132,130,4128,3096,192,256
1016,Type_2,1,23,149,191,4128,3096,192,256
1017,Type_2,1,1,190,219,4128,3096,192,256
1018,Type_2,92,1,99,126,4128,3096,192,256
1021,Type_2,1,27,190,227,4128,3096,192,256
1022,Type_2,44,83,85,88,3264,2448,192,256
1025,Type_2,1,1,190,232,4128,3096,192,256
103,Type_2,40,73,110,107,3264,2448,192,256
1032,Type_2,1,1,190,253,4128,3096,192,256
1035,Type_2,13,58,146,124,4128,3096,192,256
1036,Type_2,21,50,154,153,3264,2448,192,256
1038,Type_2,13,59,159,139,3264,2448,192,256
1039,Type_2,26,71,119,118,3264,2448,192,256
1042,Type_2,79,99,78,102,4128,3096,192,256
1043,Type_2,6,41,171,170,3264,2448,192,256
1044,Type_2,1,1,190,253,3264,2448,192,256
1046,Type_2,1,1,190,253,3264,2448,192,256
1047,Type_2,10,15,181,180,3264,2448,192,256
1049,Type_2,21,26,140,158,4128,3096,192,256
105,Type_2,1,1,190,253,4128,3096,192,256
1050,Type_2,28,73,114,105,3264,2448,192,256
1051,Type_2,1,1,190,208,4128,3096,192,256
1054,Type_2,69,86,58,72,3264,2448,192,256
1055,Type_2,1,1,190,253,3264,2448,192,256
1057,Type_2,24,51,148,146,3264,2448,192,256
1058,Type_2,48,51,98,95,4128,3096,192,256
1065,Type_2,21,55,150,148,4128,3096,192,256
1066,Type_2,1,21,190,179,4128,3096,192,256
1067,Type_2,1,1,190,253,3264,2448,192,256
1068,Type_2,1,1,190,201,4128,3096,192,256
107,Type_2,1,1,190,231,4128,3096,192,256
1072,Type_2,20,189,137,34,3264,2448,192,256
1073,Type_2,22,61,144,139,4128,3096,192,256
1074,Type_2,48,72,73,91,4128,3096,192,256
1075,Type_2,2,43,173,172,3264,2448,192,256
1076,Type_2,2,42,92,172,3264,2448,192,256
1078,Type_2,23,40,111,116,3264,2448,192,256
1083,Type_2,39,63,122,142,4160,3120,192,256
1084,Type_2,1,1,190,253,4128,3096,192,256
1085,Type_2,1,1,96,64,4128,3096,192,256
1087,Type_2,40,61,147,89,3264,2448,192,256
1089,Type_2,16,51,155,151,4128,3096,192,256
1090,Type_2,59,84,83,89,3264,2448,192,256
1091,Type_2,23,44,146,142,4128,3096,192,256
1096,Type_2,1,1,190,253,4128,3096,192,256
1097,Type_2,1,1,190,199,4128,3096,192,256
1098,Type_2,27,57,145,142,3264,2448,192,256
1099,Type_2,1,1,190,253,4128,3096,192,256
110,Type_2,1,16,178,214,3264,2448,192,256
1102,Type_2,59,46,124,122,2448,3264,256,192
1103,Type_2,34,76,108,104,3264,2448,192,256
1104,Type_2,72,73,109,66,3264,2448,192,256
1106,Type_2,22,53,149,150,4128,3096,192,256
1109,Type_2,123,37,63,216,3264,2448,192,256
1114,Type_2,21,51,55,152,3264,2448,192,256
1115,Type_2,13,58,155,153,4128,3096,192,256
1116,Type_2,37,31,154,144,4128,3096,192,256
1117,Type_2,11,80,138,121,4128,3096,192,256
1118,Type_2,1,1,190,138,4128,3096,192,256
1119,Type_2,43,77,105,95,3264,2448,192,256
112,Type_2,1,44,139,149,4128,2322,144,256
1121,Type_2,109,210,82,44,4128,3096,192,256
1122,Type_2,1,44,171,173,3264,2448,192,256
1124,Type_2,1,1,190,253,4128,3096,192,256
1125,Type_2,1,1,190,69,3264,2448,192,256
1126,Type_2,3,39,176,177,3264,2448,192,256
1130,Type_2,27,36,133,173,3264,2448,192,256
1132,Type_2,1,16,190,187,4128,3096,192,256
1135,Type_2,20,76,125,125,3264,2448,192,256
1138,Type_2,1,1,254,189,3096,4128,256,192
1140,Type_2,27,100,135,136,4128,3096,192,256
1141,Type_2,30,69,142,141,3264,2448,192,256
1142,Type_2,1,1,190,253,4128,3096,192,256
1143,Type_2,1,1,190,253,4128,3096,192,256
1144,Type_2,1,1,254,189,2448,3264,256,192
1145,Type_2,1,43,175,176,3264,2448,192,256
1146,Type_2,1,52,159,128,4128,3096,192,256
1147,Type_2,31,28,142,22,4128,3096,192,256
1148,Type_2,1,1,190,253,4128,3096,192,256
1149,Type_2,35,37,142,136,4128,3096,192,256
115,Type_2,1,77,190,177,4128,3096,192,256
1151,Type_2,1,1,190,253,4128,3096,192,256
1152,Type_2,33,48,158,206,3264,2448,192,256
1155,Type_2,31,50,131,155,4128,3096,192,256
1156,Type_2,18,67,143,139,3264,2448,192,256
1158,Type_2,12,42,161,166,3264,2448,192,256
1159,Type_2,26,52,152,147,3264,2448,192,256
116,Type_2,18,51,153,76,4128,3096,192,256
1160,Type_2,1,41,177,176,3264,2448,192,256
1169,Type_2,23,53,150,148,4128,3096,192,256
117,Type_2,1,1,190,253,4128,3096,192,256
1170,Type_2,24,65,127,113,3264,2448,192,256
1171,Type_2,1,1,190,253,4128,3096,192,256
1172,Type_2,49,75,96,98,3264,2448,192,256
1173,Type_2,18,49,131,97,3264,2448,192,256
1175,Type_2,1,50,174,164,3264,2448,192,256
1176,Type_2,20,69,123,134,4128,2322,144,256
1178,Type_2,1,1,190,253,4128,3096,192,256
1180,Type_2,1,46,147,208,4128,3096,192,256
1181,Type_2,3,24,141,98,4128,3096,192,256
1184,Type_2,47,73,113,111,3264,2448,192,256
1185,Type_2,26,52,141,150,3264,2448,192,256
1186,Type_2,23,57,145,145,3264,2448,192,256
1187,Type_2,20,63,120,115,3264,2448,192,256
1188,Type_2,12,63,151,142,3264,2448,192,256
1189,Type_2,14,40,154,184,4128,3096,192,256
119,Type_2,34,67,107,110,3264,2448,192,256
1192,Type_2,1,1,190,197,3264,2448,192,256
1193,Type_2,1,42,170,177,3264,2448,192,256
1195,Type_2,1,1,190,253,4160,3120,192,256
1196,Type_2,18,53,131,132,4128,3096,192,256
1197,Type_2,1,49,178,133,4128,3096,192,256
1198,Type_2,38,36,153,144,4128,3096,192,256
120,Type_2,1,40,171,176,3264,2448,192,256
1201,Type_2,72,35,99,183,3264,2448,192,256
1203,Type_2,45,85,111,107,4128,3096,192,256
1205,Type_2,29,64,136,135,4128,3096,192,256
1209,Type_2,1,1,190,205,3264,2448,192,256
121,Type_2,12,53,179,201,4128,3096,192,256
1210,Type_2,23,53,135,138,4128,3096,192,256
1211,Type_2,1,45,177,176,3264,2448,192,256
1212,Type_2,1,1,190,253,4128,3096,192,256
1213,Type_2,1,1,190,253,3264,2448,192,256
1214,Type_2,1,1,190,253,4128,3096,192,256
1215,Type_2,20,13,171,155,3264,2448,192,256
1216,Type_2,1,27,190,154,4128,3096,192,256
1217,Type_2,42,49,110,143,3264,2448,192,256
1218,Type_2,30,67,109,109,3264,2448,192,256
1219,Type_2,19,72,129,118,3264,2448,192,256
122,Type_2,1,34,190,175,4128,3096,192,256
1222,Type_2,68,99,54,57,3264,2448,192,256
1225,Type_2,1,1,190,253,4128,3096,192,256
1227,Type_2,1,1,190,253,4128,3096,192,256
1228,Type_2,50,93,104,100,4128,3096,192,256
123,Type_2,24,39,145,169,3264,2448,192,256
1231,Type_2,40,46,106,118,4128,3096,192,256
1233,Type_2,1,34,169,179,3264,2448,192,256
1234,Type_2,38,34,153,193,4128,3096,192,256
1236,Type_2,1,1,190,238,4128,3096,192,256
1238,Type_2,12,26,179,166,3264,2448,192,256
1240,Type_2,6,43,172,170,3264,2448,192,256
1241,Type_2,41,79,97,90,3264,2448,192,256
1242,Type_2,1,1,190,253,4128,3096,192,256
1243,Type_2,28,67,113,114,3264,2448,192,256
1246,Type_2,37,41,147,160,3264,2448,192,256
1247,Type_2,1,70,190,155,4128,3096,192,256
1249,Type_2,121,37,56,187,3264,2448,192,256
1250,Type_2,1,39,136,122,4128,3096,192,256
1253,Type_2,1,1,190,253,4128,3096,192,256
1255,Type_2,24,52,147,147,3264,2448,192,256
1257,Type_2,1,1,190,253,4128,3096,192,256
1258,Type_2,20,54,155,160,3264,2448,192,256
126,Type_2,25,39,166,191,4128,3096,192,256
1260,Type_2,1,35,168,175,3264,2448,192,256
1261,Type_2,1,35,190,219,4128,3096,192,256
1262,Type_2,30,62,127,126,3264,2448,192,256
1263,Type_2,1,1,190,253,4128,3096,192,256
1264,Type_2,25,56,151,146,3264,2448,192,256
1266,Type_2,1,1,190,133,3264,2448,192,256
1267,Type_2,20,46,148,120,4128,3096,192,256
1269,Type_2,1,1,190,253,4128,3096,192,256
127,Type_2,45,69,122,110,3264,2448,192,256
1271,Type_2,1,44,157,157,4128,3096,192,256
1272,Type_2,44,49,118,163,4128,3096,192,256
1276,Type_2,1,35,69,102,3264,2448,192,256
128,Type_2,68,53,100,136,3264,2448,192,256
1282,Type_2,1,1,190,253,4128,3096,192,256
1283,Type_2,1,1,190,253,4128,3096,192,256
1290,Type_2,24,78,112,145,3264,2448,192,256
1292,Type_2,6,76,172,123,3264,2448,192,256
1293,Type_2,41,75,109,110,4128,3096,192,256
1294,Type_2,10,42,181,155,4128,3096,192,256
1295,Type_2,35,63,110,113,3264,2448,192,256
1297,Type_2,1,61,151,146,4128,3096,192,256
1298,Type_2,18,96,109,134,3264,2448,192,256
1299,Type_2,51,124,75,53,4128,3096,192,256
1301,Type_2,39,52,113,146,4128,3096,192,256
1302,Type_2,51,61,87,138,4128,3096,192,256
1303,Type_2,51,77,98,85,3264,2448,192,256
1304,Type_2,1,15,190,191,4128,3096,192,256
1305,Type_2,34,15,108,126,4128,3096,192,256
131,Type_2,22,51,146,146,3264,2448,192,256
1310,Type_2,29,71,106,100,4128,3096,192,256
1311,Type_2,1,47,190,191,4128,3096,192,256
1312,Type_2,2,34,177,177,3264,2448,192,256
1313,Type_2,1,121,127,133,4160,3120,192,256
1315,Type_2,125,109,66,135,4128,3096,192,256
1316,Type_2,1,1,190,253,3264,2448,192,256
1317,Type_2,1,1,190,253,4128,3096,192,256
1318,Type_2,1,84,145,116,4128,3096,192,256
1319,Type_2,22,53,151,149,4128,3096,192,256
1321,Type_2,1,1,190,253,3264,2448,192,256
1322,Type_2,18,58,150,141,4128,3096,192,256
1325,Type_2,36,82,106,105,4128,2322,144,256
1327,Type_2,69,45,105,140,3264,2448,192,256
1328,Type_2,47,76,110,89,4128,3096,192,256
1329,Type_2,1,1,190,253,3264,2448,192,256
133,Type_2,1,34,148,74,3264,2448,192,256
1330,Type_2,1,1,190,253,4128,3096,192,256
1331,Type_2,20,53,150,149,3264,2448,192,256
1334,Type_2,17,50,159,152,4128,3096,192,256
1337,Type_2,24,50,144,150,4128,3096,192,256
1338,Type_2,17,49,159,155,4128,3096,192,256
134,Type_2,22,54,149,146,4128,3096,192,256
1340,Type_2,25,57,138,149,4128,3096,192,256
1342,Type_2,28,68,115,118,3264,2448,192,256
1343,Type_2,1,1,190,253,4128,3096,192,256
1345,Type_2,1,1,190,216,4128,3096,192,256
1348,Type_2,4,41,178,170,3264,2448,192,256
1349,Type_2,1,50,142,156,4128,2322,144,256
1352,Type_2,30,62,112,125,3264,2448,192,256
1353,Type_2,1,38,190,178,3264,2448,192,256
1354,Type_2,1,1,190,253,3264,2448,192,256
1356,Type_2,1,36,180,186,4128,3096,192,256
1357,Type_2,1,1,190,234,4128,3096,192,256
1358,Type_2,1,1,190,253,4128,3096,192,256
1359,Type_2,22,53,149,149,3264,2448,192,256
136,Type_2,17,53,152,145,4128,3096,192,256
1361,Type_2,18,53,152,146,4128,3096,192,256
1362,Type_2,23,51,147,145,3264,2448,192,256
1363,Type_2,1,1,190,253,4128,3096,192,256
1365,Type_2,24,49,144,153,3264,2448,192,256
1368,Type_2,1,46,175,174,3264,2448,192,256
1369,Type_2,8,43,172,112,4128,3096,192,256
137,Type_2,1,1,190,253,4128,3096,192,256
1371,Type_2,1,1,190,253,4128,3096,192,256
1373,Type_2,1,1,190,253,4128,3096,192,256
1376,Type_2,1,1,190,253,4128,3096,192,256
1377,Type_2,28,48,147,151,4128,3096,192,256
1378,Type_2,20,53,153,115,4128,3096,192,256
1379,Type_2,18,27,173,139,4128,3096,192,256
1380,Type_2,23,55,147,145,4128,3096,192,256
1381,Type_2,1,1,190,253,3264,2448,192,256
1383,Type_2,20,52,151,141,4128,3096,192,256
1385,Type_2,24,41,137,143,4128,3096,192,256
1386,Type_2,1,1,190,253,4128,3096,192,256
1388,Type_2,32,54,140,155,4128,3096,192,256
1391,Type_2,9,80,134,77,3264,2448,192,256
1392,Type_2,24,46,146,161,3264,2448,192,256
1395,Type_2,1,33,154,202,4128,3096,192,256
1398,Type_2,1,1,190,253,4128,3096,192,256
1399,Type_2,18,50,157,154,4128,3096,192,256
140,Type_2,46,83,95,113,3264,2448,192,256
1405,Type_2,1,15,190,200,4128,3096,192,256
1406,Type_2,15,60,164,149,4128,3096,192,256
1407,Type_2,3,66,44,147,3264,2448,192,256
1411,Type_2,1,18,190,190,4128,3096,192,256
1413,Type_2,1,1,190,253,4128,3096,192,256
1415,Type_2,1,48,174,173,3264,2448,192,256
1416,Type_2,30,99,132,155,4128,3096,192,256
1418,Type_2,24,49,118,144,4128,2322,144,256
1419,Type_2,31,62,135,129,4128,3096,192,256
1421,Type_2,42,4,107,137,2448,3264,256,192
1424,Type_2,1,1,190,253,4128,3096,192,256
1426,Type_2,13,42,166,166,4160,3120,192,256
1428,Type_2,27,39,115,141,3264,2448,192,256
1432,Type_2,11,72,147,138,3264,2448,192,256
1433,Type_2,1,1,190,253,4128,3096,192,256
1435,Type_2,4,36,167,188,3264,2448,192,256
1436,Type_2,1,45,190,154,4128,3096,192,256
1438,Type_2,1,1,190,253,4128,3096,192,256
1439,Type_2,25,42,144,164,4128,3096,192,256
1441,Type_2,45,53,131,29,3264,2448,192,256
1443,Type_2,41,76,100,102,3264,2448,192,256
1444,Type_2,1,1,254,188,3088,4128,256,191
1445,Type_2,29,53,148,148,3264,2448,192,256
1446,Type_2,1,1,190,253,3264,2448,192,256
1449,Type_2,1,32,139,154,4128,3096,192,256
1450,Type_2,23,54,147,147,4128,3096,192,256
1451,Type_2,57,72,84,97,3264,2448,192,256
1452,Type_2,1,40,172,174,3264,2448,192,256
1453,Type_2,47,88,100,92,3264,2448,192,256
1454,Type_2,1,1,189,253,3264,2448,192,256
1457,Type_2,15,52,162,156,4128,3096,192,256
1462,Type_2,31,38,138,156,4128,3096,192,256
1463,Type_2,11,80,150,151,4128,3096,192,256
1465,Type_2,13,50,139,123,3264,2448,192,256
1466,Type_2,44,80,92,76,4128,3096,192,256
1467,Type_2,26,34,124,140,3264,2448,192,256
147,Type_2,14,56,162,143,4128,3096,192,256
1471,Type_2,1,14,169,228,3264,2448,192,256
1472,Type_2,1,54,142,169,4128,3096,192,256
1474,Type_2,16,26,164,168,4128,3096,192,256
